time,time (seconds),.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
1970/01/01/07:01:40.989000,14.35,-0.00179994106293,0.00139999389648,0,0,0,0
1970/01/01/07:01:41.040000,14.4,-0.00174999237061,0.00139999389648,0,0,0,0
1970/01/01/07:01:41.090000,14.45,-0.00170004367828,0.00135004520416,0,0,0,0
1970/01/01/07:01:41.140000,14.5,-0.00170004367828,0.00129997730255,0,0,0,0
1970/01/01/07:01:41.189000,14.55,-0.00170004367828,0.00129997730255,0,0,0,0
1970/01/01/07:01:41.239000,14.6,-0.00164997577667,0.00125002861023,0,0,0,0
1970/01/01/07:01:41.289000,14.65,-0.00160002708435,0.00125002861023,0,0,0,0
1970/01/01/07:01:41.339000,14.7,-0.00154995918274,0.00119996070862,0,0,0,0
1970/01/01/07:01:41.390000,14.75,-0.00150001049042,0.0011500120163,0,0,0,0
1970/01/01/07:01:41.439000,14.8,-0.00144994258881,0.0011500120163,0,0,0,0
1970/01/01/07:01:41.489000,14.85,-0.00139999389648,0.00109994411469,0,0,0,0
1970/01/01/07:01:41.539000,14.9,-0.00139999389648,0.00109994411469,0,0,0,0
1970/01/01/07:01:41.589000,14.95,-0.00135004520416,0.00104999542236,0,0,0,0
1970/01/01/07:01:41.639000,15,-0.00129997730255,0.00100004673004,0,0,0,0
1970/01/01/07:01:41.689000,15.05,-0.00125002861023,0.00100004673004,0,0,0,0
1970/01/01/07:01:41.740000,15.1,-0.00125002861023,0.00094997882843,0,0,0,0
1970/01/01/07:01:41.789000,15.15,-0.00119996070862,0.00094997882843,0,0,0,0
1970/01/01/07:01:41.840000,15.2,-0.0011500120163,0.000900030136108,0,0,0,0
1970/01/01/07:01:41.890000,15.25,-0.0011500120163,0.000900030136108,0,0,0,0
1970/01/01/07:01:41.939000,15.3,-0.00109994411469,0.000849962234497,0,0,0,0
1970/01/01/07:01:41.990000,15.35,-0.00104999542236,0.000849962234497,0,0,0,0
1970/01/01/07:01:42.039000,15.4,-0.00104999542236,0.000800013542175,0,0,0,0
1970/01/01/07:01:42.089000,15.45,-0.00100004673004,0.000800013542175,0,0,0,0
1970/01/01/07:01:42.139000,15.5,-0.00100004673004,0.000749945640564,0,0,0,0
1970/01/01/07:01:42.189000,15.55,-0.00094997882843,0.000749945640564,0,0,0,0
1970/01/01/07:01:42.239000,15.6,-0.00094997882843,0.000749945640564,0,0,0,0
1970/01/01/07:01:42.289000,15.65,-0.000900030136108,0.000699996948242,0,0,0,0
