time,.x,.y,.z
1970/01/01/07:21:56.385000,-0.341491271418,0.147234266345,0.0
1970/01/01/07:21:56.435000,-0.341491271418,0.147234266345,0.0
1970/01/01/07:21:56.486000,-0.364678785181,0.157057596247,0.0
1970/01/01/07:21:56.535000,-0.376338688647,0.161989548592,0.0
1970/01/01/07:21:56.585000,-0.376338688647,0.161989548592,0.0
1970/01/01/07:21:56.635000,-0.38828147763,0.167034866164,0.0
1970/01/01/07:21:56.685000,-0.39978693845,0.171890807699,0.0
1970/01/01/07:21:56.735000,-0.411570180441,0.176857757633,0.0
1970/01/01/07:21:56.785000,-0.435227095229,0.186813957711,0.0
1970/01/01/07:21:56.835000,-0.435227095229,0.186813957711,0.0
1970/01/01/07:21:56.886000,-0.447095889166,0.19180110467,0.0
1970/01/01/07:21:56.935000,-0.470917897002,0.201794360804,0.0
1970/01/01/07:21:56.985000,-0.482867373165,0.206799028649,0.0
1970/01/01/07:21:57.035000,-0.482867373165,0.206799028649,0.0
1970/01/01/07:21:57.085000,-0.494830841104,0.211805109785,0.0
1970/01/01/07:21:57.135000,-0.506820666572,0.216816431106,0.0
1970/01/01/07:21:57.185000,-0.51882133758,0.22182785115,0.0
1970/01/01/07:21:57.235000,-0.530845428261,0.226843276663,0.0
1970/01/01/07:21:57.285000,-0.554930651472,0.23687493308,0.0
1970/01/01/07:21:57.335000,-0.554930651472,0.23687493308,0.0
1970/01/01/07:21:57.385000,-0.566989386308,0.241890146707,0.0
1970/01/01/07:21:57.435000,-0.59114773511,0.251921611021,0.0
1970/01/01/07:21:57.485000,-0.59114773511,0.251921611021,0.0
1970/01/01/07:21:57.535000,-0.615339006158,0.26193983759,0.0
1970/01/01/07:21:57.585000,-0.615339006158,0.26193983759,0.0
1970/01/01/07:21:57.635000,-0.639578103767,0.271937645959,0.0
1970/01/01/07:21:57.685000,-0.639578103767,0.271937645959,0.0
1970/01/01/07:21:57.735000,-0.663871188394,0.281909963513,0.0
1970/01/01/07:21:57.785000,-0.663871188394,0.281909963513,0.0
1970/01/01/07:21:57.835000,-0.676025727269,0.286883192718,0.0
1970/01/01/07:21:57.885000,-0.700354464358,0.296804980396,0.0
1970/01/01/07:21:57.935000,-0.712527227075,0.301754410165,0.0
1970/01/01/07:21:57.985000,-0.724696044587,0.30669441653,0.0
1970/01/01/07:21:58.036000,-0.736874867999,0.311629958543,0.0
1970/01/01/07:21:58.085000,-0.736874867999,0.311629958543,0.0
1970/01/01/07:21:58.135000,-0.74904984053,0.316557580155,0.0
1970/01/01/07:21:58.185000,-0.761235222318,0.321482591615,0.0
1970/01/01/07:21:58.235000,-0.785606944659,0.331314477044,0.0
1970/01/01/07:21:58.285000,-0.785606944659,0.331314477044,0.0
1970/01/01/07:21:58.335000,-0.797791234235,0.336218940247,0.0
1970/01/01/07:21:58.385000,-0.822163902062,0.346000514847,0.0
1970/01/01/07:21:58.435000,-0.822163902062,0.346000514847,0.0
1970/01/01/07:21:58.485000,-0.846553509498,0.355740313885,0.0
1970/01/01/07:21:58.535000,-0.846553509498,0.355740313885,0.0
1970/01/01/07:21:58.585000,-0.858757007128,0.360592957173,0.0
1970/01/01/07:21:58.635000,-0.870969602933,0.365433617519,0.0
1970/01/01/07:21:58.686000,-0.883420656022,0.370356651075,0.0
1970/01/01/07:21:58.735000,-0.907590706836,0.379871752963,0.0
1970/01/01/07:21:58.786000,-0.907590706836,0.379871752963,0.0
1970/01/01/07:21:58.835000,-0.931993994681,0.389426360063,0.0
1970/01/01/07:21:58.885000,-0.931993994681,0.389426360063,0.0
1970/01/01/07:21:58.936000,-0.956384177163,0.398924998675,0.0
1970/01/01/07:21:58.985000,-0.968577742144,0.403654712818,0.0
1970/01/01/07:21:59.036000,-0.968577742144,0.403654712818,0.0
1970/01/01/07:21:59.085000,-0.992957962518,0.413087163935,0.0
1970/01/01/07:21:59.135000,-1.00515156842,0.417801527644,0.0
1970/01/01/07:21:59.185000,-1.00515156842,0.417801527644,0.0
1970/01/01/07:21:59.235000,-1.02956642014,0.427243216968,0.0
1970/01/01/07:21:59.285000,-1.02956642014,0.427243216968,0.0
1970/01/01/07:21:59.335000,-1.05403558736,0.436707011836,0.0
1970/01/01/07:21:59.385000,-1.06629354907,0.441447244159,0.0
1970/01/01/07:21:59.435000,-1.07857058869,0.446193568528,0.0
1970/01/01/07:21:59.485000,-1.07857058869,0.446193568528,0.0
1970/01/01/07:21:59.535000,-1.10314330176,0.455694693713,0.0
1970/01/01/07:21:59.585000,-1.11543797789,0.460453441364,0.0
1970/01/01/07:21:59.635000,-1.11543797789,0.460453441364,0.0
1970/01/01/07:21:59.685000,-1.14005568157,0.4699969322,0.0
1970/01/01/07:21:59.736000,-1.15237658889,0.47478071094,0.0
1970/01/01/07:21:59.785000,-1.15237658889,0.47478071094,0.0
1970/01/01/07:21:59.836000,-1.16494032326,0.479662847687,0.0
1970/01/01/07:21:59.885000,-1.18934357567,0.489157484593,0.0
1970/01/01/07:21:59.935000,-1.18934357567,0.489157484593,0.0
1970/01/01/07:21:59.985000,-1.21399905983,0.49876207874,0.0
1970/01/01/07:22:00.035000,-1.21399905983,0.49876207874,0.0
1970/01/01/07:22:00.085000,-1.22632706628,0.503563216422,0.0
1970/01/01/07:22:00.136000,-1.23864394283,0.508357387986,0.0
1970/01/01/07:22:00.185000,-1.26329083719,0.517927242838,0.0
1970/01/01/07:22:00.237000,-1.27561716803,0.522699552112,0.0
1970/01/01/07:22:00.285000,-1.27561716803,0.522699552112,0.0
1970/01/01/07:22:00.335000,-1.28794855601,0.527462654132,0.0
1970/01/01/07:22:00.385000,-1.31259119913,0.536952182268,0.0
1970/01/01/07:22:00.435000,-1.31259119913,0.536952182268,0.0
1970/01/01/07:22:00.485000,-1.32489958204,0.541677269169,0.0
1970/01/01/07:22:00.535000,-1.33745258549,0.546484258057,0.0
